Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,acc_ma_x,acc_ma_y,acc_ma_z,acc_diff_x,acc_diff_y,acc_diff_z,
610618,-6.439316,6.432137,-3.735330,2.380000,-5.390000,-1.750000,-46.828751,78.937683,56.923206,4.78,-6.4417085,6.4261545,-3.7054185,0.004785000000000039,0.011965000000000003,-0.05982299999999974,
610638,-6.353171,6.444101,-3.706615,2.100000,-5.040000,-1.400000,-46.758537,78.672676,57.857059,4.8,-6.3962435,6.438119,-3.7209725000000002,0.08614500000000014,0.011963999999999864,0.028714999999999602,
610653,-6.444101,6.386672,-3.735330,1.120000,-4.200000,-1.260000,-46.311455,79.929375,58.497391,4.82,-6.398636,6.4153865,-3.7209725000000002,-0.09093000000000018,-0.05742899999999995,-0.028714999999999602,
610673,-6.463245,6.381886,-3.754473,0.350000,-4.340000,-1.050000,-45.195553,79.210808,58.642914,4.84,-6.453673,6.384278999999999,-3.7449015,-0.019143999999999828,-0.004786000000000179,-0.019143000000000132,
610693,-6.489567,6.396243,-3.692257,0.070000,-4.550000,-0.630000,-45.883316,76.662094,57.354603,4.86,-6.476406,6.3890645,-3.7233650000000003,-0.0263220000000004,0.014357000000000397,0.06221599999999983,
610713,-6.491960,6.357957,-3.749687,0.000000,-4.410000,-0.140000,-46.742657,80.275948,59.122459,4.88,-6.4907635,6.3771,-3.720972,-0.0023929999999996454,-0.038286000000000264,-0.05743000000000009,
610728,-6.563747,6.401029,-3.747294,0.630000,-4.270000,0.000000,-47.192699,80.618553,59.186207,4.9,-6.5278535,6.379493,-3.7484905,-0.07178700000000049,0.04307200000000044,0.0023930000000000895,
610748,-6.525460,6.451280,-3.723365,1.890000,-4.900000,0.280000,-48.017075,77.560287,57.668301,4.92,-6.5446035,6.4261545,-3.7353294999999997,0.038287000000000404,0.05025099999999938,0.02392900000000031,
610768,-6.530246,6.530246,-3.761652,2.100000,-5.390000,0.630000,-46.420235,79.145897,57.938679,4.94,-6.527853,6.490762999999999,-3.7425085,-0.004786000000000179,0.07896600000000031,-0.038287000000000404,
610788,-6.556568,6.427351,-3.773616,1.540000,-5.530000,0.700000,-47.247143,77.966812,58.295952,4.96,-6.543407,6.4787985,-3.767634,-0.0263220000000004,-0.10289500000000018,-0.011963999999999864,
610803,-6.470424,6.439316,-3.754473,1.610000,-5.880000,0.560000,-47.533176,78.265160,57.089081,4.98,-6.513496,6.4333335,-3.7640445,0.086144,0.011965000000000003,0.019143000000000132,
610823,-6.520675,6.422565,-3.732937,1.190000,-5.670000,0.420000,-42.679466,75.875061,59.296413,5.0,-6.4955495,6.4309405,-3.7437050000000003,-0.05025099999999938,-0.016751000000000182,0.021535999999999778,
610843,-6.546997,6.396243,-3.692257,0.770000,-5.600000,0.560000,-46.277275,76.736725,57.931213,5.02,-6.533836,6.409404,-3.712597,-0.0263220000000004,-0.026321999999999512,0.04068000000000005,
610863,-6.506317,6.429744,-3.622863,1.260000,-5.390000,0.910000,-46.437756,80.462357,57.050671,5.04,-6.526657,6.412993500000001,-3.65756,0.04068000000000005,0.033501000000000225,0.06939399999999996,
610878,-6.494352,6.515889,-3.610898,1.610000,-4.620000,0.910000,-45.327454,78.702255,58.553646,5.06,-6.5003345,6.4728165,-3.6168805,0.011965000000000003,0.08614499999999925,0.011965000000000003,
610898,-6.470424,6.448887,-3.598934,1.400000,-3.850000,1.120000,-47.702755,77.748680,55.877174,5.08,-6.482388,6.482388,-3.6049160000000002,0.023927999999999727,-0.06700199999999956,0.011964000000000308,
610918,-6.566140,6.396243,-3.656363,0.630000,-3.570000,1.400000,-45.725227,79.816444,57.492146,5.1,-6.518282,6.4225650000000005,-3.6276485,-0.09571599999999947,-0.05264399999999991,-0.05742899999999995,
610938,-6.578104,6.389065,-3.668328,0.350000,-3.360000,1.400000,-46.466900,79.415855,57.706478,5.12,-6.572122,6.392654,-3.6623455,-0.011963999999999864,-0.007177999999999685,-0.011965000000000003,
610954,-6.549389,6.470424,-3.675507,0.630000,-2.520000,1.330000,-47.812748,80.164795,56.866951,5.14,-6.5637465,6.4297445,-3.6719175,0.028715000000000046,0.08135899999999996,-0.0071790000000002685,
610974,-6.539818,6.506317,-3.642006,0.910000,-2.030000,1.050000,-43.863834,78.458900,59.061447,5.16,-6.5446035,6.4883705,-3.6587565,0.00957099999999933,0.03589299999999973,0.033501000000000225,
610994,-6.561354,6.570926,-3.651578,0.910000,-2.240000,0.770000,-47.509628,78.270119,57.790730,5.18,-6.550586,6.5386215,-3.646792,-0.021535999999999333,0.06460899999999992,-0.009572000000000358,
611014,-6.570926,6.558961,-3.642006,0.000000,-2.310000,0.560000,-47.997349,78.604790,56.731838,5.2,-6.56614,6.5649435,-3.646792,-0.009572000000000358,-0.011965000000000003,0.009572000000000358,
611030,-6.628356,6.518281,-3.596541,-0.070000,-2.310000,0.140000,-44.458157,79.890274,59.459347,5.22,-6.599641,6.538621,-3.6192735000000003,-0.05743000000000009,-0.04068000000000005,0.045464999999999645,
611050,-6.621177,6.525460,-3.596541,0.490000,-2.660000,0.000000,-46.347061,77.281601,58.168457,5.24,-6.6247665,6.5218705,-3.596541,0.007178999999999824,0.007178999999999824,0.0,
611070,-6.630748,6.621177,-3.589362,0.840000,-2.870000,-0.630000,-43.882240,78.734810,59.671223,5.26,-6.6259625,6.5733185,-3.5929515,-0.00957099999999933,0.0957170000000005,0.0071790000000002685,
611090,-6.599640,6.511103,-3.589362,0.280000,-2.940000,-0.980000,-46.541397,79.959747,57.803387,5.28,-6.615194,6.566140000000001,-3.589362,0.03110799999999969,-0.110074,0.0,
611105,-6.551782,6.470424,-3.618077,-0.210000,-3.010000,-1.400000,-44.638908,77.771515,57.122372,5.3,-6.575711,6.4907635,-3.6037195,0.047857999999999734,-0.04067899999999991,-0.028715000000000046,
611125,-6.513496,6.491960,-3.630042,-0.210000,-3.080000,-2.100000,-48.677765,78.697899,54.930485,5.32,-6.532639,6.481192,-3.6240595,0.038286000000000264,0.021535999999999333,-0.011965000000000003,
611145,-6.532639,6.554175,-3.618077,-0.070000,-2.730000,-2.380000,-46.028812,80.950447,59.237244,5.34,-6.5230675,6.5230675,-3.6240595,-0.019142999999999688,0.06221500000000013,0.011965000000000003,
611165,-6.499138,6.537425,-3.649185,-0.350000,-2.450000,-2.590000,-42.939770,78.058533,60.806698,5.36,-6.5158885,6.5458,-3.6336310000000003,0.03350099999999934,-0.016750000000000043,-0.031108000000000136,
611180,-6.508710,6.570926,-3.622863,-0.980000,-2.240000,-2.520000,-46.043373,80.667603,57.645157,5.38,-6.503924,6.5541754999999995,-3.636024,-0.00957199999999947,0.033501000000000225,0.026321999999999957,
611200,-6.472816,6.580497,-3.577398,-1.680000,-1.890000,-2.660000,-43.737534,77.925926,60.508167,5.4,-6.490762999999999,6.575711500000001,-3.6001305,0.03589399999999987,0.009571000000000218,0.04546500000000009,
611220,-6.475209,6.465638,-3.630042,-1.750000,-1.960000,-2.450000,-41.021832,77.193695,60.219986,5.42,-6.474012500000001,6.5230675,-3.60372,-0.0023930000000005336,-0.11485900000000004,-0.05264399999999991,
611240,-6.436923,6.470424,-3.699436,-1.540000,-2.100000,-2.450000,-45.449936,78.195686,58.745041,5.44,-6.456066,6.468031,-3.664739,0.038286000000000264,0.004786000000000179,-0.06939399999999996,
